baseSlug,player,name_key,reason
lamar_green,Lamar Green,lamar green,no_headshot_file
lamond_murray,Lamond Murray,lamond murray,no_headshot_file
lanard_copeland,Lanard Copeland,lanard copeland,no_headshot_file
lancaster_gordon,Lancaster Gordon,lancaster gordon,no_headshot_file
laron_profit,Laron Profit,laron profit,no_headshot_file
larry_demic,Larry Demic,larry demic,no_headshot_file
larry_drew,Larry Drew,larry drew,no_headshot_file
larry_mcneill,Larry McNeill,larry mcneill,no_headshot_file
larry_micheaux,Larry Micheaux,larry micheaux,no_headshot_file
larry_mikan,Larry Mikan,larry mikan,no_headshot_file
larry_siegfried,Larry Siegfried,larry siegfried,no_headshot_file
larry_spriggs,Larry Spriggs,larry spriggs,no_headshot_file
larry_stewart,Larry Stewart,larry stewart,no_headshot_file
larry_wright,Larry Wright,larry wright,no_headshot_file
larue_martin,LaRue Martin,larue martin,no_headshot_file
lasalle_thompson,LaSalle Thompson,lasalle thompson,no_headshot_file
lavor_postell,Lavor Postell,lavor postell,no_headshot_file
lawrence_moten,Lawrence Moten,lawrence moten,no_headshot_file
lawrence_roberts,Lawrence Roberts,lawrence roberts,no_headshot_file
lee_mayberry,Lee Mayberry,lee mayberry,no_headshot_file
lee_nailon,Lee Nailon,lee nailon,no_headshot_file
lee_winfield,Lee Winfield,lee winfield,no_headshot_file
len_chappell,Len Chappell,len chappell,no_headshot_file
len_elmore,Len Elmore,len elmore,no_headshot_file
len_kosmalski,Len Kosmalski,len kosmalski,no_headshot_file
leo_rautins,Leo Rautins,leo rautins,no_headshot_file
leon_benbow,Leon Benbow,leon benbow,no_headshot_file
leon_douglas,Leon Douglas,leon douglas,no_headshot_file
leonard_gray,Leonard Gray,leonard gray,no_headshot_file
leron_ellis,LeRon Ellis,leron ellis,no_headshot_file
leroy_combs,Leroy Combs,leroy combs,no_headshot_file
leroy_ellis,Leroy Ellis,leroy ellis,no_headshot_file
les_jepsen,Les Jepsen,les jepsen,no_headshot_file
levi_fontaine,Levi Fontaine,levi fontaine,no_headshot_file
lewis_lloyd,Lewis Lloyd,lewis lloyd,no_headshot_file
lindsay_hairston,Lindsay Hairston,lindsay hairston,no_headshot_file
linton_johnson,Linton Johnson,linton johnson,no_headshot_file
linton_townes,Linton Townes,linton townes,no_headshot_file
lionel_simmons,Lionel Simmons,lionel simmons,no_headshot_file
litterial_green,Litterial Green,litterial green,no_headshot_file
lloyd_daniels,Lloyd Daniels,lloyd daniels,no_headshot_file
lloyd_walton,Lloyd Walton,lloyd walton,no_headshot_file
lonny_baxter,Lonny Baxter,lonny baxter,no_headshot_file
loren_meyer,Loren Meyer,loren meyer,no_headshot_file
loren_woods,Loren Woods,loren woods,no_headshot_file
lorenzo_charles,Lorenzo Charles,lorenzo charles,no_headshot_file
lorenzo_williams,Lorenzo Williams,lorenzo williams,no_headshot_file
lou_roe,Lou Roe,lou roe,no_headshot_file
louie_dampier,Louie Dampier,louie dampier,no_headshot_file
louie_nelson,Louie Nelson,louie nelson,no_headshot_file
lowes_moore,Lowes Moore,lowes moore,no_headshot_file
loy_petersen,Loy Petersen,loy petersen,no_headshot_file
luke_schenscher,Luke Schenscher,luke schenscher,no_headshot_file
luke_witte,Luke Witte,luke witte,no_headshot_file
luther_rackley,Luther Rackley,luther rackley,no_headshot_file
